Date,Name,Purchase Order,Item,Quantity,Quantity Fulfilled/Received,Destination,Vendor Ship Date,Expected Receipt Date,Amount,Confirmed,Blanket PO
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90021,800,800,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90037,80,80,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90083,120,120,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90203,160,160,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90205,40,40,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90216,60,60,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90279,160,160,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90339,120,120,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90415,60,60,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90429,14,14,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90904,20,20,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90909,60,60,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90915,60,60,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90921,120,120,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90928,60,60,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90929,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90941,80,80,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91041,20,20,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91202,20,20,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91235,20,20,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91237,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91534,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91546,30,30,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91549,40,40,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91556,20,20,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91561,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91640,30,30,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91801,5,5,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91802,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91807,50,50,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91821,80,80,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91835,10,10,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91836,100,100,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91837,100,100,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91838,100,100,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 91845,90,90,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90429,6,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,"Bryson Industries, Inc",PO11710,4142,25002,0,BPUT1,10/26/2021,10/30/2021,50004,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80400,15,0,BPUT1,10/18/2021,12/17/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80406,50,0,BPUT1,10/17/2021,12/16/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80502,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80503,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80504,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80506,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80507,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80508,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80511,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80512,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80513,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80514,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80515,30,0,BPUT1,10/15/2021,12/14/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80516,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80518,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80519,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80520,30,0,BPUT1,10/15/2021,12/14/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80521,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80522,30,30,BPUT1,10/15/2021,12/9/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80531,30,0,BPUT1,10/15/2021,12/14/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80532,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80533,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80534,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80535,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80537,30,30,BPUT1,8/27/2021,10/21/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80539,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80542,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80547,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80551,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80552,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80553,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80559,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80560,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80561,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80562,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80563,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80564,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80565,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80566,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80567,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80568,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80569,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80570,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80571,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80572,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80573,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80574,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80575,30,30,BPUT1,4/1/2021,4/1/2021,0,Yes,No
3/16/2021,Shining Era Enterprise Limited,PO11711,RP 80576,30,30,BPUT1,8/19/2021,10/13/2021,0,Yes,No
